ID,Severity,Priority,Module,Feature,Title,Description,Steps to Reproduce,Expected Result,Actual Result,Status,Assigned To,Reported Date,Target Fix Version,Fixed Date,Notes
BUG-001,Critical,High,Explore,Topic Grid,Topics fail to load from Supabase,TopicsProvider returns empty list despite data existing in DB,1. Open app 2. Navigate to Explore 3. Observe topic grid,Topics should display in 2-column grid,Topics grid shows loading or empty state,Open,,2026-07-28,v1.0.0,,
BUG-002,Major,High,Concept,Learning Objects,Learning objects fail to load,Concept screen shows no content for a concept with known data,1. Navigate to a concept 2. Wait for content to load,Learning objects (cards/quizzes) should render,No content available yet message shown,Open,,2026-07-28,v1.0.0,,
BUG-003,Major,Medium,Auth,Google Sign-In,Google OAuth redirect fails on Android,Google Sign-In does not complete after selecting account,1. Tap Sign in with Google 2. Select account,User should be authenticated and redirected to onboarding,Auth flow hangs or returns error,Open,,2026-07-28,v1.0.0,,
BUG-004,Minor,Low,Library,Saved Objects,Empty state text truncates on small screens,"Start learning to build your library text wraps poorly on 360dp width devices",1. Open Library with no saved objects 2. Observe text,Text should be fully visible and centered,Text is truncated or overflow rendered,Open,,2026-07-28,v1.1.0,,
BUG-005,Normal,Medium,Profile,Profile Switch,Profile screen overflow on 600px height devices,Profile switch screen Column overflows on small viewports,1. Open profile switch on 600px height device 2. Scroll,Entire content should be scrollable,Bottom of screen clipped causing layout overflow,Open,,2026-07-28,v1.0.0,,
BUG-006,Normal,High,Home,Streak Display,Streak data not displayed on Home screen,Home screen shows mock streak instead of live profile streak data,1. Open Home screen 2. Check streak section,Real streak from DB should display,Hardcoded mock data shown,Open,,2026-07-28,v1.1.0,,
BUG-007,Major,High,Concept,Quiz,Quiz answer validation has single question limit,Quiz widget only handles first question - no pagination through multiple questions,1. Open concept with quiz 2. Answer question 1 3. Check for Q2,Multiple questions should be answerable in sequence,Only first question displayed,Open,,2026-07-28,v1.0.0,,
BUG-008,Normal,Medium,Onboarding,Page Navigation,Onboarding page indicator animation lags,Page indicator dot animation stutters on slow devices,1. Open onboarding 2. Swipe through pages 3. Observe dots,Smooth 300ms animated transitions,Animation visible stutter on low-end devices,Open,,2026-07-28,v1.1.0,,
BUG-009,Minor,Low,Explore,Search,Search field has no action handler,Search field is decorative - no search functionality implemented,1. Open Explore 2. Type in search 3. Press enter,Search should filter topics,Nothing happens on search input,Open,,2026-07-28,v1.1.0,,
BUG-010,Normal,Medium,Concept,Difficulty Chip,Difficulty chip text case inconsistent,"'Beginner' vs 'beginner' display varies between list and detail views",1. Open concept 2. Check chip,Consistent capitalization,List shows lowercase detail shows title case,Open,,2026-07-28,v1.0.0,,
"",,,,,,,,,,,,,,
Release Cycle 1 (v1.0.0) - Foundation,,,,,,,,,,,,,,
Release Cycle 2 (v1.1.0) - Polish,,,,,,,,,,,,,,
Release Cycle 3 (v2.0.0) - AI Tutor,,,,,,,,,,,,,,
